Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,state Code,state name
Anantapur,19,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,J.C. PAVAN REDDY,Telugu Desam,141428,Result Declared,S01,Andhra Pradesh
Aruku,1,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,KISHORE CHANDRA DEO,Telugu Desam,224089,Result Declared,S01,Andhra Pradesh
Bapatla,15,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,MALYADRI SRIRAM,Telugu Desam,16065,Result Declared,S01,Andhra Pradesh
Chittoor,25,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,NARAMALLI SIVA PRASAD,Telugu Desam,137271,Result Declared,S01,Andhra Pradesh
Eluru,10,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,165925,Result Declared,S01,Andhra Pradesh
Guntur,13,Jayadev Galla,Telugu Desam,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,4205,Result Declared,S01,Andhra Pradesh
Hindupur,20,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,KRISTAPPA . NIMMALA,Telugu Desam,140748,Result Declared,S01,Andhra Pradesh
Kadapa,21,Y.S.Av,Yuvajana Sramika Rythu Congress Party,Chadipirala Adi Narayana Reddy,Telugu Desam,380976,Result Declared,S01,Andhra Pradesh
Kakinada,6,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,Telugu Desam,25738,Result Declared,S01,Andhra Pradesh
Kurnool,18,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,148889,Result Declared,S01,Andhra Pradesh
Machilipatnam,11,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,KONAKALLA NARAYANA RAO,Telugu Desam,60141,Result Declared,S01,Andhra Pradesh
Nandyal,17,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,MANDRA SIVANANDA REDDY,Telugu Desam,250119,Result Declared,S01,Andhra Pradesh
Narasaraopet,14,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,RAYAPATI SAMBASIVARAO,Telugu Desam,153978,Result Declared,S01,Andhra Pradesh
Narsapuram,9,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,31909,Result Declared,S01,Andhra Pradesh
Nellore,22,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,Beeda Masthan Rao,Telugu Desam,148571,Result Declared,S01,Andhra Pradesh
Ongole,16,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,SIDDA RAGHAVA RAO,Telugu Desam,214851,Result Declared,S01,Andhra Pradesh
Rajahmundry,8,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,MAGANTI ROOPA,Telugu Desam,121634,Result Declared,S01,Andhra Pradesh
Rajampet,24,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,D A SATHYA PRABHA,Telugu Desam,268284,Result Declared,S01,Andhra Pradesh
Srikakulam,2,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,6653,Result Declared,S01,Andhra Pradesh
Tirupati,23,Ball,Yuvajana Sramika Rythu Congress Party,Panabaka Lakshmi,Telugu Desam,228376,Result Declared,S01,Andhra Pradesh
Vijayawada,12,KESINENI SRINIVAS (NANI),Telugu Desam,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,8726,Result Declared,S01,Andhra Pradesh
Visakhapatnam,4,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,BHARAT MATHUKUMILLI,Telugu Desam,4414,Result Declared,S01,Andhra Pradesh
Vizianagaram,3,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,Ashok Gajapathi Raju Pusapati,Telugu Desam,48036,Result Declared,S01,Andhra Pradesh
